idp;xl93;yl93;dep;csa;uta1;uta2;tm2;plisi;elisi;sfo;gest;incid;peupnr;dc;dcespar1;dcespar2;tplant;tpespar1;tpespar2;dist;iti;pentexp;portance;asperite;esspre;cac;ess_age_1
717237;436503;6722829;49;1;0;;3;0;;4;2;0;0;0;;;0;;;0;0;0;1;0;19;04;
717251;745853;6436480;43;1;0;;3;0;;3;0;0;0;0;;;0;;;2;1;2;1;1;17;10;
717262;925864;6341036;04;1;0;;3;0;;3;2;1;0;8;;;0;;;0;0;1;1;0;62;11;
717264;915951;6698807;70;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;03;06;
717285;684410;6377056;12;1;0;;3;0;;3;0;0;0;0;;;0;;;1;2;1;2;0;09;10;
717307;544147;6929806;76;1;0;;3;0;;1;2;0;0;9;;;0;;;1;1;0;1;0;03;14;
717313;692369;6728691;45;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;2;0;02;12;
717353;967525;6306712;04;1;0;8;3;2;180;1;0;1;0;9;;;0;;;0;0;0;2;0;52;08;
717357;630657;6161736;66;1;0;6;3;0;;1;0;2;0;0;;;0;;;0;0;3;1;0;58;12;
717385;917155;6838700;54;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;0;2;0;11;11;
717395;327241;6803669;35;1;0;;3;1;14;1;2;0;0;0;;;P;73;;1;1;0;1;0;73;08;
717413;812956;6807614;10;1;0;;3;2;100;3;2;0;0;0;;;0;;;0;0;0;2;0;17;12;
717422;812451;6513844;69;1;0;;2;1;229;4;2;0;0;4;03;17C;0;;;0;0;1;2;0;03;10;
717452;415773;6389281;33;1;0;;3;0;;1;2;0;0;0;;;P;51;;0;0;0;1;0;51;03;
717457;645160;6223545;11;1;0;;3;1;320;2;0;0;0;0;;;0;;;0;0;2;1;0;57;09;
717458;764293;6490274;63;1;0;;3;0;;3;1;0;0;8;;;0;;;1;1;1;1;0;17;09;
717465;890419;6750989;52;1;0;;3;0;;1;0;0;0;0;;;0;;;1;2;0;1;0;02;13;
717477;523414;6840031;61;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;02;14;
717491;708448;6502736;63;1;0;;3;0;;3;1;0;0;0;;;0;;;2;1;2;1;1;52;11;
717504;602112;6331792;81;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;3;2;0;05;11;
717514;448790;6758702;72;1;0;;3;1;265;4;2;0;0;0;;;0;;;0;0;0;1;0;03;09;
717516;730816;6548507;63;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;2;1;0;03;13;
717527;729020;6572502;03;1;0;;3;0;;1;2;0;0;8;;;P;53CO;;0;0;0;1;0;53;07;
717535;838322;6735446;21;1;0;;3;1;370;1;2;0;0;0;;;0;;;0;0;0;2;0;02;AA;
717548;504769;6278657;32;1;0;;3;0;;1;2;0;0;8;;;A;61;;1;1;1;1;0;61;14;
717581;719345;6846385;77;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;02;11;
717613;614312;6715357;41;1;0;;3;1;283;4;1;0;0;0;;;0;;;1;1;0;1;0;24;07;
717617;473746;6392799;47;1;0;;3;0;;3;2;0;0;9;;;0;;;1;1;0;1;0;11;14;
717624;463179;6322956;40;1;0;;3;1;96;1;0;0;0;9;;;0;;;0;0;1;1;0;02;13;
717642;478171;6444713;24;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;02;13;
717657;478649;6260893;32;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;02;12;
717659;950629;6432732;38;1;0;;3;0;;1;0;0;0;0;;;0;;;1;3;4;;;62;06;
717675;531719;6396315;24;1;0;;3;0;;3;1;0;0;0;;;0;;;1;2;0;1;0;11;12;
717681;990514;6770112;88;1;0;;3;2;97;1;2;0;0;8;;;0;;;0;0;0;2;0;61;14;
717705;441010;6784749;53;1;0;;2;2;367;1;1;0;0;0;;;0;;;0;0;0;1;0;02;11;
717716;645662;6283476;81;1;0;;3;0;;2;0;0;0;0;;;0;;;1;1;4;;;05;10;
717728;473994;6422768;24;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;1;02;12;
717738;975745;6564398;74;1;0;0;3;0;;1;2;0;0;0;;;0;;;3;1;2;2;1;62;07;
717763;952681;6786428;88;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;12;
717770;693886;6908564;60;1;0;;3;2;225;2;1;0;0;0;;;0;;;0;0;0;2;0;17;09;
717773;885556;6882945;55;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;0;2;0;63;13;
717785;417656;6375279;33;1;0;;3;1;100;1;2;2;0;0;;;S;51;;2;1;0;1;0;51;04;
717803;484066;6432676;24;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;07;11;
717804;982721;6562339;74;1;0;;2;1;28;1;2;0;1;0;;;I;62;;0;0;0;2;0;62;NR;
717810;847632;6889266;55;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;03;14;
717861;708062;6930432;02;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;2;0;17;09;
717872;497510;6608411;86;1;0;;3;1;93;3;1;0;0;0;;;0;;;0;0;0;1;0;05;12;
717900;488390;6230844;65;1;0;;3;0;;3;2;0;0;0;;;0;;;1;2;0;1;0;02;16;
717950;747630;6646285;58;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;03;13;
717953;775980;6690011;58;1;0;;3;0;;1;2;0;0;9;;;P;64;;2;1;1;1;0;64;04;
717955;708592;6756535;89;1;0;;3;0;;3;2;0;0;9;;;0;;;0;0;0;1;0;02;14;
717961;959674;6670452;25;1;0;;3;0;;3;1;0;0;0;;;0;;;2;1;0;0;0;12;08;
717965;668822;6543035;23;1;0;;3;0;;1;2;0;0;8;;;P;62;;0;0;0;1;0;62;09;
717972;774622;6530152;42;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;1;1;0;02;16;
718021;737864;6318663;30;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;4;;;05;11;
718046;1174102;6169063;2B;3;X;;3;0;;0;;0;1;0;;;0;;;1;1;1;2;1;28;NR;
718052;1205325;6084887;2A;1;0;8;3;0;;3;0;0;0;0;;;0;;;2;2;4;;;06;13;
718057;530419;6480247;24;1;0;;3;0;;1;2;0;0;8;;;P;51;04;0;0;1;1;0;51;05;
718082;545722;6398197;24;1;0;;3;0;;4;2;0;0;0;;;0;;;0;0;0;1;0;51;04;
718087;344539;6230030;64;1;8;0;3;0;;1;0;1;0;0;;;0;;;3;3;4;;;09;17;
718093;989403;6526312;74;1;8;0;3;0;;1;1;0;0;0;;;0;;;4;1;1;0;1;23;07;
718096;583001;6555744;87;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;03;12;
718097;680525;6508966;63;1;0;;3;1;228;1;1;0;0;0;;;P;62;;1;2;1;1;0;62;09;
718102;497696;6872224;61;1;0;;3;0;;1;1;0;0;0;;;0;;;1;1;1;1;0;09;06;
718107;957640;6550566;74;3;8;;3;0;;0;;0;0;0;;;0;;;4;1;3;2;1;23;06;
718137;979326;6516408;73;1;0;;3;0;;1;2;0;0;8;;;0;;;1;1;4;;;62;20;
718149;820558;6761580;21;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;2;1;0;11;13;
718161;911091;6830757;54;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;24;07;
718177;496704;6752310;72;1;0;;3;0;;4;2;0;0;9;;;0;;;0;0;0;1;0;10;08;
718178;921945;6930604;57;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;2;2;0;09;13;
718192;450318;6217174;65;1;0;;3;0;;4;0;0;0;0;;;0;;;1;3;3;1;1;05;07;
718219;939260;6620667;25;1;0;;3;1;168;2;2;0;0;9;;;0;;;0;0;0;2;0;62;14;
718224;917499;6878672;54;1;0;;3;0;;2;2;0;0;7;62;;P;62;;0;0;0;1;0;62;AA;
718233;990600;6780104;88;1;0;;3;1;325;1;2;0;0;8;;;0;;;0;0;0;1;0;62;09;
718245;923471;6295103;13;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;05;14;
718279;777690;6656022;58;1;0;;3;2;47;1;2;0;0;9;;;I;62;;0;0;2;1;0;62;10;
718285;965648;6320713;04;1;0;6;3;0;;1;0;0;0;0;;;0;;;0;0;1;1;1;54;04;
718287;674463;6501024;63;1;0;;3;1;100;3;0;0;0;0;;;0;;;1;1;1;1;0;17;13;
718296;752508;6514353;63;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;1;1;0;09;12;
718342;849451;6283750;13;1;0;2;2;0;;1;1;0;0;0;;;0;;;0;0;0;1;0;33;11;
