idp;a;espar;ori;veget;datemort;c13;v;w
752267;25;11;0;5;2;25;0.015;88.42
752284;8;49FL;0;5;2;26;0.012;88.42
752309;13;64;1;5;1;26;0.013;88.42
752416;6;33N;1;5;1;128;1.078;20.14
752416;9;33N;1;C;2;134;1.191;22.58
752416;10;33N;1;C;2;146;1.436;21.75
752451;10;13G;0;5;1;43;0.078;88.41
752453;7;23AM;0;5;1;24;0.013;88.42
752453;15;23AB;0;5;1;32;0.029;88.41
752453;17;10;0;5;2;27;0.018;88.41
752530;13;12V;1;A;;121;0.942;14.14
752530;16;11;0;5;1;28;0.023;88.41
752545;3;03;1;5;2;83;0.449;39.29
752545;9;03;1;5;2;34;0.043;88.41
752545;19;03;0;5;2;24;0.011;88.42
752614;5;10;0;5;1;32;0.034;88.41
752614;7;10;0;5;2;27;0.020;88.41
752614;10;10;0;5;1;30;0.028;88.41
752614;14;10;0;5;2;35;0.045;88.41
752614;17;10;0;5;1;27;0.020;88.41
752614;21;10;0;5;1;34;0.041;88.41
752614;24;10;0;5;2;27;0.020;88.41
752614;25;10;0;5;2;25;0.015;88.42
752614;30;10;0;5;1;43;0.078;88.41
752614;31;10;0;5;1;30;0.028;88.41
752614;35;10;0;5;1;27;0.020;88.41
752614;37;10;0;5;1;28;0.022;88.41
752629;10;07;1;C;2;56;0.138;99.50
752640;7;09;1;5;2;33;0.033;88.41
752640;8;09;1;5;2;36;0.044;88.41
752651;11;14;0;5;1;28;0.023;88.51
752732;11;10;0;5;1;44;0.080;88.41
752732;13;22M;1;5;1;28;0.022;88.41
752732;14;03;1;5;2;32;0.035;88.41
752732;15;03;1;5;2;41;0.075;88.41
752732;17;10;0;5;2;52;0.122;88.40
752737;2;61;1;C;2;134;1.543;14.14
752737;14;61;1;A;;27;0.015;88.41
752737;15;61;1;A;;28;0.017;88.41
752873;3;52;1;C;2;47;0.068;89.34
752883;7;02;0;5;2;43;0.084;88.41
752884;5;05;0;5;2;30;0.023;88.41
752884;11;05;0;C;2;29;0.021;88.41
752884;12;05;0;5;2;27;0.018;88.41
752884;16;05;0;5;2;28;0.019;88.41
752884;22;05;1;5;2;24;0.013;88.42
752923;8;51;1;A;;134;1.292;14.59
752984;5;02;0;5;2;31;0.029;88.41
753035;13;11;1;5;1;28;0.023;88.41
753035;19;12V;1;A;;90;0.492;39.29
753035;20;11;0;C;1;73;0.274;39.29
753059;11;05;0;5;2;25;0.010;88.42
753062;5;10;0;5;1;27;0.018;88.41
753074;4;58;1;5;2;168;1.178;14.14
753081;27;25M;1;5;2;33;0.032;88.41
753083;4;05;1;5;1;33;0.033;88.41
753101;1;10;0;C;2;84;0.331;39.29
753101;8;10;0;5;1;44;0.071;88.41
753101;11;10;0;C;2;226;2.161;14.14
753124;2;12V;1;C;2;38;0.051;88.41
753124;3;12V;1;5;2;34;0.036;88.41
753138;1;13G;1;C;1;91;0.515;39.29
753138;3;14;0;A;;104;0.722;39.28
753138;4;14;0;A;;143;1.441;14.14
753138;5;31;0;A;;38;0.038;88.41
753138;10;31;0;A;;36;0.034;88.41
753141;6;03;1;5;2;79;0.439;39.29
753154;14;25M;0;5;1;30;0.025;88.41
753168;7;24;1;5;2;35;0.053;88.41
753168;9;24;1;C;2;98;0.741;39.29
753168;21;24;1;5;2;24;0.014;88.42
